Index,Token ID,Token Text,Attention Mask
0,151644,<|im_start|>,1
1,8948,system,1
2,198,"
",1
3,2610,You,1
4,525, are,1
5,458, an,1
6,10847, advanced,1
7,5312, cross,1
8,72794,-domain,1
9,11,",",1
10,5312, cross,1
11,52579,-task,1
12,4771, graph,1
13,11673, mining,1
14,6203, expert,1
15,624,".
",1
16,2610,You,1
17,15218, possess,1
18,5538, deep,1
19,6540, knowledge,1
20,315, of,1
21,4586, general,1
22,4771, graph,1
23,10126, theory,1
24,11,",",1
25,2670, including,1
26,320, (,1
27,8088,but,1
28,537, not,1
29,7199, limited,1
30,311, to,1
31,8,),1
32,4771, graph,1
33,1909, top,1
34,9090,ologies,1
35,11,",",1
36,2436, node,1
37,323, and,1
38,6821, edge,1
39,5888, properties,1
40,624,".
",1
41,2610,You,1
42,525, are,1
43,25530, skilled,1
44,304, in,1
45,7947, domain,1
46,18906,-specific,1
47,8357, applications,1
48,320, (,1
49,68,e,1
50,1302,.g,1
51,2572,".,",1
52,14250, academic,1
53,44377, citation,1
54,14155, networks,1
55,11,",",1
56,3590, social,1
57,14155, networks,1
58,11,",",1
59,6540, knowledge,1
60,38999, graphs,1
61,11,",",1
62,30106, molecular,1
63,38999, graphs,1
64,11,",",1
65,23275, biological,1
66,14155, networks,1
67,11,",",1
68,384, e,1
69,41585,-commerce,1
70,4292,").
",1
71,2610,You,1
72,614, have,1
73,279, the,1
74,5726, ability,1
75,311, to,1
76,510,":
",1
77,12,-,1
78,26759, Reason,1
79,518, at,1
80,2436, node,1
81,11591,-level,1
82,11,",",1
83,6821, edge,1
84,11591,-level,1
85,11,",",1
86,323, and,1
87,4771, graph,1
88,11591,-level,1
89,624,".
",1
90,12,-,1
91,13760, Handle,1
92,16807, diverse,1
93,9079, tasks,1
94,11,",",1
95,1741, such,1
96,438, as,1
97,23850, classification,1
98,11,",",1
99,30549, regression,1
100,11,",",1
101,323, and,1
102,9471, generation,1
103,624,".
",1
104,12,-,1
105,14775, Parse,1
106,323, and,1
107,14198, interpret,1
108,5248, multiple,1
109,62533, textual,1
110,4771, graph,1
111,43613, representations,1
112,320, (,1
113,68,e,1
114,1302,.g,1
115,2572,".,",1
116,4718, JSON,1
117,11,",",1
118,12165, Graph,1
119,2668,ML,1
120,11,",",1
121,479, G,1
122,2668,ML,1
123,11,",",1
124,73192, Markdown,1
125,12632, tables,1
126,4292,").
",1
127,12,-,1
128,70894, Understand,1
129,279, the,1
130,17452, characteristics,1
131,315, of,1
132,38999, graphs,1
133,11,",",1
134,1741, such,1
135,438, as,1
136,15540, directed,1
137,11,",",1
138,12557, multip,1
139,2571,lex,1
140,11,",",1
141,97782, heterogeneous,1
142,11,",",1
143,323, and,1
144,8741, dynamic,1
145,624,".
",1
146,12,-,1
147,20552, Apply,1
148,9760, relevant,1
149,7947, domain,1
150,6540, knowledge,1
151,311, to,1
152,29257, accurately,1
153,14198, interpret,1
154,279, the,1
155,7290, meaning,1
156,315, of,1
157,264, a,1
158,4771, graph,1
159,624,".
",1
160,151645,<|im_end|>,1
161,198,"
",1
162,151644,<|im_start|>,1
163,872,user,1
164,198,"
",1
165,2610,You,1
166,686, will,1
167,387, be,1
168,2661, given,1
169,510,":
",1
170,12,-,1
171,362, A,1
172,6961, physical,1
173,320, (,1
174,12204,domain,1
175,18906,-specific,1
176,8,),1
177,4008, description,1
178,315, of,1
179,264, a,1
180,4771, graph,1
181,624,".
",1
182,12,-,1
183,362, A,1
184,62533, textual,1
185,13042, representation,1
186,315, of,1
187,279, the,1
188,4771, graph,1
189,624,".
",1
190,12,-,1
191,362, A,1
192,3405, question,1
193,911, about,1
194,279, the,1
195,4771, graph,1
196,624,".
",1
197,7771,Your,1
198,3383, task,1
199,374, is,1
200,311, to,1
201,26364, thoroughly,1
202,3535, understand,1
203,279, the,1
204,4771, graph,1
205,323, and,1
206,6786, conduct,1
207,264, a,1
208,15817, comprehensive,1
209,6358, analysis,1
210,311, to,1
211,3410, provide,1
212,264, a,1
213,2797, clear,1
214,11,",",1
215,4396, correct,1
216,11,",",1
217,323, and,1
218,63594, concise,1
219,4226, answer,1
220,311, to,1
221,279, the,1
222,3405, question,1
223,624,".
",1
224,2610,You,1
225,525, are,1
226,2567, required,1
227,311, to,1
228,3410, provide,1
229,697, your,1
230,4226, answer,1
231,43810, enclosed,1
232,2878, within,1
233,366, <,1
234,9217,answer,1
235,29,>,1
236,690, </,1
237,9217,answer,1
238,29,>,1
239,9492, tags,1
240,11,",",1
241,600, i,1
242,1734,.e,1
243,2572,".,",1
244,366, <,1
245,9217,answer,1
246,29,>,1
247,697, your,1
248,4226, answer,1
249,1588, here,1
250,690, </,1
251,9217,answer,1
252,94367,">.

",1
253,38214,Below,1
254,374, is,1
255,279, the,1
256,6961, physical,1
257,320, (,1
258,12204,domain,1
259,18906,-specific,1
260,8,),1
261,4008, description,1
262,315, of,1
263,279, the,1
264,4771, graph,1
265,510,":
",1
266,1986,This,1
267,4771, graph,1
268,374, is,1
269,264, a,1
270,41930, molecule,1
271,4771, graph,1
272,11,",",1
273,1380, where,1
274,11464, explicit,1
275,34684, hydrogen,1
276,32199, atoms,1
277,614, have,1
278,1012, been,1
279,6963, removed,1
280,13,.,1
281,52501, Nodes,1
282,4009, represent,1
283,32199, atoms,1
284,323, and,1
285,12822, edges,1
286,4009, represent,1
287,11483, chemical,1
288,26363, bonds,1
289,624,".
",1
290,38214,Below,1
291,374, is,1
292,279, the,1
293,62533, textual,1
294,13042, representation,1
295,315, of,1
296,279, the,1
297,4771, graph,1
298,304, in,1
299,1965, table,1
300,3561, format,1
301,510,":
",1
302,73594,```,1
303,2,#,1
304,6018, Node,1
305,6633, Table,1
306,198,"
",1
307,334,**,1
308,1955,Node,1
309,6633, Table,1
310,320, (,1
311,1313,type,1
312,284, =,1
313,1565, `,1
314,21855,atom,1
315,63,`,1
316,32295,)**,1
317,510,":
",1
318,91,|,1
319,2436, node,1
320,760, |,1
321,943, type,1
322,760, |,1
323,19124, atom,1
324,760, |,1
325,24510, atomic,1
326,5500,_number,1
327,760, |,1
328,70446, chir,1
329,2719,ality,1
330,760, |,1
331,8381, degree,1
332,760, |,1
333,15908, formal,1
334,46008,_charge,1
335,760, |,1
336,1629, num,1
337,3575,_of,1
338,1523,_h,1
339,67007,ydro,1
340,4370,gen,1
341,760, |,1
342,1629, num,1
343,3575,_of,1
344,39764,_rad,1
345,938,ical,1
346,2204,_e,1
347,767,lect,1
348,25610,rons,1
349,760, |,1
350,24989, hybrid,1
351,2022,ization,1
352,760, |,1
353,81588, aromatic,1
354,760, |,1
355,304, in,1
356,34683,_ring,1
357,9248," |
",1
358,50854,|-,1
359,25,:,1
360,91,|,1
361,10944,:-,1
362,91,|,1
363,10944,:-,1
364,50854,|-,1
365,25,:,1
366,91,|,1
367,10944,:-,1
368,50854,|-,1
369,25,:,1
370,50854,|-,1
371,25,:,1
372,50854,|-,1
373,25,:,1
374,50854,|-,1
375,25,:,1
376,91,|,1
377,10944,:-,1
378,91,|,1
379,10944,:-,1
380,91,|,1
381,10944,:-,1
382,7360,"|
",1
383,91,|,1
384,220, ,1
385,15,0,1
386,760, |,1
387,19124, atom,1
388,760, |,1
389,21487, Carbon,1
390,760, |,1
391,220, ,1
392,21,6,1
393,760, |,1
394,54311, unspecified,1
395,760, |,1
396,220, ,1
397,18,3,1
398,760, |,1
399,220, ,1
400,15,0,1
401,760, |,1
402,220, ,1
403,15,0,1
404,760, |,1
405,220, ,1
406,15,0,1
407,760, |,1
408,9256, SP,1
409,17,2,1
410,760, |,1
411,3007, True,1
412,760, |,1
413,3007, True,1
414,9248," |
",1
415,91,|,1
416,220, ,1
417,16,1,1
418,760, |,1
419,19124, atom,1
420,760, |,1
421,21487, Carbon,1
422,760, |,1
423,220, ,1
424,21,6,1
425,760, |,1
426,54311, unspecified,1
427,760, |,1
428,220, ,1
429,18,3,1
430,760, |,1
431,220, ,1
432,15,0,1
433,760, |,1
434,220, ,1
435,15,0,1
436,760, |,1
437,220, ,1
438,15,0,1
439,760, |,1
440,9256, SP,1
441,17,2,1
442,760, |,1
443,3007, True,1
444,760, |,1
445,3007, True,1
446,9248," |
",1
447,91,|,1
448,220, ,1
449,17,2,1
450,760, |,1
451,19124, atom,1
452,760, |,1
453,21487, Carbon,1
454,760, |,1
455,220, ,1
456,21,6,1
457,760, |,1
458,54311, unspecified,1
459,760, |,1
460,220, ,1
461,19,4,1
462,760, |,1
463,220, ,1
464,15,0,1
465,760, |,1
466,220, ,1
467,17,2,1
468,760, |,1
469,220, ,1
470,15,0,1
471,760, |,1
472,9256, SP,1
473,18,3,1
474,760, |,1
475,3557, False,1
476,760, |,1
477,3007, True,1
478,9248," |
",1
479,91,|,1
480,220, ,1
481,18,3,1
482,760, |,1
483,19124, atom,1
484,760, |,1
485,49516, Nit,1
486,25188,rogen,1
487,760, |,1
488,220, ,1
489,22,7,1
490,760, |,1
491,54311, unspecified,1
492,760, |,1
493,220, ,1
494,18,3,1
495,760, |,1
496,220, ,1
497,15,0,1
498,760, |,1
499,220, ,1
500,16,1,1
501,760, |,1
502,220, ,1
503,15,0,1
504,760, |,1
505,9256, SP,1
506,17,2,1
507,760, |,1
508,3557, False,1
509,760, |,1
510,3557, False,1
511,9248," |
",1
512,91,|,1
513,220, ,1
514,19,4,1
515,760, |,1
516,19124, atom,1
517,760, |,1
518,21487, Carbon,1
519,760, |,1
520,220, ,1
521,21,6,1
522,760, |,1
523,54311, unspecified,1
524,760, |,1
525,220, ,1
526,18,3,1
527,760, |,1
528,220, ,1
529,15,0,1
530,760, |,1
531,220, ,1
532,15,0,1
533,760, |,1
534,220, ,1
535,15,0,1
536,760, |,1
537,9256, SP,1
538,17,2,1
539,760, |,1
540,3007, True,1
541,760, |,1
542,3007, True,1
543,9248," |
",1
544,91,|,1
545,220, ,1
546,20,5,1
547,760, |,1
548,19124, atom,1
549,760, |,1
550,21487, Carbon,1
551,760, |,1
552,220, ,1
553,21,6,1
554,760, |,1
555,54311, unspecified,1
556,760, |,1
557,220, ,1
558,18,3,1
559,760, |,1
560,220, ,1
561,15,0,1
562,760, |,1
563,220, ,1
564,16,1,1
565,760, |,1
566,220, ,1
567,15,0,1
568,760, |,1
569,9256, SP,1
570,17,2,1
571,760, |,1
572,3007, True,1
573,760, |,1
574,3007, True,1
575,9248," |
",1
576,91,|,1
577,220, ,1
578,21,6,1
579,760, |,1
580,19124, atom,1
581,760, |,1
582,21487, Carbon,1
583,760, |,1
584,220, ,1
585,21,6,1
586,760, |,1
587,54311, unspecified,1
588,760, |,1
589,220, ,1
590,18,3,1
591,760, |,1
592,220, ,1
593,15,0,1
594,760, |,1
595,220, ,1
596,15,0,1
597,760, |,1
598,220, ,1
599,15,0,1
600,760, |,1
601,9256, SP,1
602,17,2,1
603,760, |,1
604,3557, False,1
605,760, |,1
606,3557, False,1
607,9248," |
",1
608,91,|,1
609,220, ,1
610,22,7,1
611,760, |,1
612,19124, atom,1
613,760, |,1
614,21487, Carbon,1
615,760, |,1
616,220, ,1
617,21,6,1
618,760, |,1
619,54311, unspecified,1
620,760, |,1
621,220, ,1
622,19,4,1
623,760, |,1
624,220, ,1
625,15,0,1
626,760, |,1
627,220, ,1
628,18,3,1
629,760, |,1
630,220, ,1
631,15,0,1
632,760, |,1
633,9256, SP,1
634,18,3,1
635,760, |,1
636,3557, False,1
637,760, |,1
638,3557, False,1
639,9248," |
",1
640,91,|,1
641,220, ,1
642,23,8,1
643,760, |,1
644,19124, atom,1
645,760, |,1
646,21487, Carbon,1
647,760, |,1
648,220, ,1
649,21,6,1
650,760, |,1
651,54311, unspecified,1
652,760, |,1
653,220, ,1
654,18,3,1
655,760, |,1
656,220, ,1
657,15,0,1
658,760, |,1
659,220, ,1
660,15,0,1
661,760, |,1
662,220, ,1
663,15,0,1
664,760, |,1
665,9256, SP,1
666,17,2,1
667,760, |,1
668,3007, True,1
669,760, |,1
670,3007, True,1
671,9248," |
",1
672,91,|,1
673,220, ,1
674,24,9,1
675,760, |,1
676,19124, atom,1
677,760, |,1
678,21487, Carbon,1
679,760, |,1
680,220, ,1
681,21,6,1
682,760, |,1
683,54311, unspecified,1
684,760, |,1
685,220, ,1
686,18,3,1
687,760, |,1
688,220, ,1
689,15,0,1
690,760, |,1
691,220, ,1
692,15,0,1
693,760, |,1
694,220, ,1
695,15,0,1
696,760, |,1
697,9256, SP,1
698,17,2,1
699,760, |,1
700,3007, True,1
701,760, |,1
702,3007, True,1
703,9248," |
",1
704,91,|,1
705,220, ,1
706,16,1,1
707,15,0,1
708,760, |,1
709,19124, atom,1
710,760, |,1
711,21487, Carbon,1
712,760, |,1
713,220, ,1
714,21,6,1
715,760, |,1
716,54311, unspecified,1
717,760, |,1
718,220, ,1
719,18,3,1
720,760, |,1
721,220, ,1
722,15,0,1
723,760, |,1
724,220, ,1
725,16,1,1
726,760, |,1
727,220, ,1
728,15,0,1
729,760, |,1
730,9256, SP,1
731,17,2,1
732,760, |,1
733,3007, True,1
734,760, |,1
735,3007, True,1
736,9248," |
",1
737,91,|,1
738,220, ,1
739,16,1,1
740,16,1,1
741,760, |,1
742,19124, atom,1
743,760, |,1
744,21487, Carbon,1
745,760, |,1
746,220, ,1
747,21,6,1
748,760, |,1
749,54311, unspecified,1
750,760, |,1
751,220, ,1
752,18,3,1
753,760, |,1
754,220, ,1
755,15,0,1
756,760, |,1
757,220, ,1
758,15,0,1
759,760, |,1
760,220, ,1
761,15,0,1
762,760, |,1
763,9256, SP,1
764,17,2,1
765,760, |,1
766,3007, True,1
767,760, |,1
768,3007, True,1
769,9248," |
",1
770,91,|,1
771,220, ,1
772,16,1,1
773,17,2,1
774,760, |,1
775,19124, atom,1
776,760, |,1
777,86569, Oxygen,1
778,760, |,1
779,220, ,1
780,23,8,1
781,760, |,1
782,54311, unspecified,1
783,760, |,1
784,220, ,1
785,16,1,1
786,760, |,1
787,220, ,1
788,15,0,1
789,760, |,1
790,220, ,1
791,15,0,1
792,760, |,1
793,220, ,1
794,15,0,1
795,760, |,1
796,9256, SP,1
797,17,2,1
798,760, |,1
799,3557, False,1
800,760, |,1
801,3557, False,1
802,9248," |
",1
803,91,|,1
804,220, ,1
805,16,1,1
806,18,3,1
807,760, |,1
808,19124, atom,1
809,760, |,1
810,21487, Carbon,1
811,760, |,1
812,220, ,1
813,21,6,1
814,760, |,1
815,54311, unspecified,1
816,760, |,1
817,220, ,1
818,19,4,1
819,760, |,1
820,220, ,1
821,15,0,1
822,760, |,1
823,220, ,1
824,17,2,1
825,760, |,1
826,220, ,1
827,15,0,1
828,760, |,1
829,9256, SP,1
830,18,3,1
831,760, |,1
832,3557, False,1
833,760, |,1
834,3007, True,1
835,9248," |
",1
836,91,|,1
837,220, ,1
838,16,1,1
839,19,4,1
840,760, |,1
841,19124, atom,1
842,760, |,1
843,21487, Carbon,1
844,760, |,1
845,220, ,1
846,21,6,1
847,760, |,1
848,54311, unspecified,1
849,760, |,1
850,220, ,1
851,18,3,1
852,760, |,1
853,220, ,1
854,15,0,1
855,760, |,1
856,220, ,1
857,15,0,1
858,760, |,1
859,220, ,1
860,15,0,1
861,760, |,1
862,9256, SP,1
863,17,2,1
864,760, |,1
865,3007, True,1
866,760, |,1
867,3007, True,1
868,9248," |
",1
869,91,|,1
870,220, ,1
871,16,1,1
872,20,5,1
873,760, |,1
874,19124, atom,1
875,760, |,1
876,21487, Carbon,1
877,760, |,1
878,220, ,1
879,21,6,1
880,760, |,1
881,54311, unspecified,1
882,760, |,1
883,220, ,1
884,18,3,1
885,760, |,1
886,220, ,1
887,15,0,1
888,760, |,1
889,220, ,1
890,16,1,1
891,760, |,1
892,220, ,1
893,15,0,1
894,760, |,1
895,9256, SP,1
896,17,2,1
897,760, |,1
898,3007, True,1
899,760, |,1
900,3007, True,1
901,9248," |
",1
902,91,|,1
903,220, ,1
904,16,1,1
905,21,6,1
906,760, |,1
907,19124, atom,1
908,760, |,1
909,21487, Carbon,1
910,760, |,1
911,220, ,1
912,21,6,1
913,760, |,1
914,27853, tet,1
915,32507,rah,1
916,35520,edral,1
917,65670, clockwise,1
918,760, |,1
919,220, ,1
920,19,4,1
921,760, |,1
922,220, ,1
923,15,0,1
924,760, |,1
925,220, ,1
926,16,1,1
927,760, |,1
928,220, ,1
929,15,0,1
930,760, |,1
931,9256, SP,1
932,18,3,1
933,760, |,1
934,3557, False,1
935,760, |,1
936,3557, False,1
937,9248," |
",1
938,91,|,1
939,220, ,1
940,16,1,1
941,22,7,1
942,760, |,1
943,19124, atom,1
944,760, |,1
945,21487, Carbon,1
946,760, |,1
947,220, ,1
948,21,6,1
949,760, |,1
950,54311, unspecified,1
951,760, |,1
952,220, ,1
953,19,4,1
954,760, |,1
955,220, ,1
956,15,0,1
957,760, |,1
958,220, ,1
959,18,3,1
960,760, |,1
961,220, ,1
962,15,0,1
963,760, |,1
964,9256, SP,1
965,18,3,1
966,760, |,1
967,3557, False,1
968,760, |,1
969,3557, False,1
970,9248," |
",1
971,91,|,1
972,220, ,1
973,16,1,1
974,23,8,1
975,760, |,1
976,19124, atom,1
977,760, |,1
978,21487, Carbon,1
979,760, |,1
980,220, ,1
981,21,6,1
982,760, |,1
983,54311, unspecified,1
984,760, |,1
985,220, ,1
986,19,4,1
987,760, |,1
988,220, ,1
989,15,0,1
990,760, |,1
991,220, ,1
992,18,3,1
993,760, |,1
994,220, ,1
995,15,0,1
996,760, |,1
997,9256, SP,1
998,18,3,1
999,760, |,1
1000,3557, False,1
1001,760, |,1
1002,3557, False,1
1003,9248," |
",1
1004,91,|,1
1005,220, ,1
1006,16,1,1
1007,24,9,1
1008,760, |,1
1009,19124, atom,1
1010,760, |,1
1011,21487, Carbon,1
1012,760, |,1
1013,220, ,1
1014,21,6,1
1015,760, |,1
1016,54311, unspecified,1
1017,760, |,1
1018,220, ,1
1019,18,3,1
1020,760, |,1
1021,220, ,1
1022,15,0,1
1023,760, |,1
1024,220, ,1
1025,16,1,1
1026,760, |,1
1027,220, ,1
1028,15,0,1
1029,760, |,1
1030,9256, SP,1
1031,17,2,1
1032,760, |,1
1033,3007, True,1
1034,760, |,1
1035,3007, True,1
1036,9248," |
",1
1037,91,|,1
1038,220, ,1
1039,17,2,1
1040,15,0,1
1041,760, |,1
1042,19124, atom,1
1043,760, |,1
1044,21487, Carbon,1
1045,760, |,1
1046,220, ,1
1047,21,6,1
1048,760, |,1
1049,54311, unspecified,1
1050,760, |,1
1051,220, ,1
1052,19,4,1
1053,760, |,1
1054,220, ,1
1055,15,0,1
1056,760, |,1
1057,220, ,1
1058,15,0,1
1059,760, |,1
1060,220, ,1
1061,15,0,1
1062,760, |,1
1063,9256, SP,1
1064,18,3,1
1065,760, |,1
1066,3557, False,1
1067,760, |,1
1068,3007, True,1
1069,9248," |
",1
1070,91,|,1
1071,220, ,1
1072,17,2,1
1073,16,1,1
1074,760, |,1
1075,19124, atom,1
1076,760, |,1
1077,21487, Carbon,1
1078,760, |,1
1079,220, ,1
1080,21,6,1
1081,760, |,1
1082,54311, unspecified,1
1083,760, |,1
1084,220, ,1
1085,18,3,1
1086,760, |,1
1087,220, ,1
1088,15,0,1
1089,760, |,1
1090,220, ,1
1091,16,1,1
1092,760, |,1
1093,220, ,1
1094,15,0,1
1095,760, |,1
1096,9256, SP,1
1097,17,2,1
1098,760, |,1
1099,3007, True,1
1100,760, |,1
1101,3007, True,1
1102,9248," |
",1
1103,91,|,1
1104,220, ,1
1105,17,2,1
1106,17,2,1
1107,760, |,1
1108,19124, atom,1
1109,760, |,1
1110,21487, Carbon,1
1111,760, |,1
1112,220, ,1
1113,21,6,1
1114,760, |,1
1115,27853, tet,1
1116,32507,rah,1
1117,35520,edral,1
1118,65670, clockwise,1
1119,760, |,1
1120,220, ,1
1121,19,4,1
1122,760, |,1
1123,220, ,1
1124,15,0,1
1125,760, |,1
1126,220, ,1
1127,16,1,1
1128,760, |,1
1129,220, ,1
1130,15,0,1
1131,760, |,1
1132,9256, SP,1
1133,18,3,1
1134,760, |,1
1135,3557, False,1
1136,760, |,1
1137,3007, True,1
1138,9248," |
",1
1139,91,|,1
1140,220, ,1
1141,17,2,1
1142,18,3,1
1143,760, |,1
1144,19124, atom,1
1145,760, |,1
1146,49516, Nit,1
1147,25188,rogen,1
1148,760, |,1
1149,220, ,1
1150,22,7,1
1151,760, |,1
1152,54311, unspecified,1
1153,760, |,1
1154,220, ,1
1155,18,3,1
1156,760, |,1
1157,220, ,1
1158,15,0,1
1159,760, |,1
1160,220, ,1
1161,17,2,1
1162,760, |,1
1163,220, ,1
1164,15,0,1
1165,760, |,1
1166,9256, SP,1
1167,17,2,1
1168,760, |,1
1169,3557, False,1
1170,760, |,1
1171,3557, False,1
1172,9248," |
",1
1173,91,|,1
1174,220, ,1
1175,17,2,1
1176,19,4,1
1177,760, |,1
1178,19124, atom,1
1179,760, |,1
1180,21487, Carbon,1
1181,760, |,1
1182,220, ,1
1183,21,6,1
1184,760, |,1
1185,54311, unspecified,1
